Level,Date,Hour,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
L1,03.08.2019,15:00,AFC Wimbledon,Rotherham,1,2,A,0,1,A,B Huxtable,11,14,1,8,16,12,4,4,1,0,0,0,2.6,3.4,2.87
L1,03.08.2019,15:00,Doncaster,Gillingham,1,1,D,1,1,D,J Busby,12,8,3,4,14,13,6,4,0,1,0,0,1.9,3.75,4.33
L1,03.08.2019,15:00,Peterboro,Fleetwood Town,1,3,A,0,2,A,R Lewis,10,7,3,4,8,14,4,2,1,6,0,0,2.1,3.5,3.75
L1,03.08.2019,15:00,Sunderland,Oxford,1,1,D,0,1,A,P Wright,9,6,3,2,11,20,6,4,1,4,0,0,1.57,4.0,7.0
L1,03.08.2019,15:00,Wycombe,Bolton,2,0,H,0,0,D,T Nield,25,3,10,0,16,12,6,0,0,0,0,0,1.28,5.75,13.0
L1,10.08.2019,15:00,Bolton,Coventry,0,0,D,0,0,D,J Adcock,5,24,2,7,19,12,2,4,4,1,0,0,4.75,4.2,1.5
L1,10.08.2019,15:00,Bristol Rvs,Wycombe,0,0,D,0,0,D,P Marsden,10,7,3,4,12,21,3,6,1,2,0,0,2.15,3.4,3.25
L1,10.08.2019,15:00,Fleetwood Town,AFC Wimbledon,2,1,H,0,1,A,T Nield,15,7,4,3,9,12,6,4,1,3,0,0,1.8,3.5,4.5
L1,10.08.2019,15:00,Gillingham,Burton,1,2,A,1,2,A,J Linington,14,13,2,6,16,10,6,4,0,2,0,0,2.8,3.4,2.4
L1,10.08.2019,15:00,Ipswich,Sunderland,1,1,D,1,0,H,N Hair,17,3,7,1,15,12,8,1,1,1,0,0,2.6,3.4,2.6
L1,10.08.2019,15:00,Milton Keynes Dons,Shrewsbury,1,0,H,0,0,D,B Huxtable,11,11,2,1,5,7,7,8,1,1,0,0,2.0,3.2,3.6
L1,10.08.2019,15:00,Oxford,Peterboro,1,0,H,1,0,H,M Salisbury,8,7,2,2,16,14,3,9,3,2,0,0,2.1,3.6,3.25
L1,10.08.2019,15:00,Rochdale,Doncaster,1,1,D,0,0,D,T Kettle,9,15,4,3,12,12,3,8,2,1,0,0,2.9,3.4,2.3
L1,10.08.2019,15:00,Rotherham,Lincoln,0,2,A,0,1,A,L Swabey,17,3,3,3,15,13,11,9,4,2,0,0,1.95,3.5,3.8
