,matches,home_corr,draw_corr,away_corr,mean_corr
A Madley,7,0.5357210148560471,0.24692665511849465,0.3592761760289255,0.3806412820011557
D Coote,8,0.42558737896463966,0.4527670079779188,0.23909199639359568,0.37248212777871803
S Hooper,9,0.3944945495420413,0.2911408499086765,0.3220778521552222,0.33590441720198
J Gillett,24,0.6014217287824687,0.2360420649693787,-0.043562403973139374,0.2646337965929027
K Friend,3,0.7246035049264582,0.3047904197192032,-0.3048214004370399,0.24152417473620713
P Bankes,11,0.20770581684628675,0.31094618969738236,0.1944371729823279,0.2376963931753323
D England,25,0.12671966643980326,-0.18460216635588836,0.4208622125257895,0.12099323753656814
J Brooks,28,0.02978356471799698,0.06059745850829131,0.08040565607044613,0.05692889309891147
R Jones,25,-0.0419426105914228,0.06320701076207715,-0.03957365232988287,-0.0061030840530761745
A Davies,23,0.08767621131818884,-0.10520035315426851,-0.017560805839237158,-0.011694982558438942
