,matches,home_corr,draw_corr,away_corr,mean_corr
J Moss,25,0.5735158236662938,0.6192871325611553,0.474087205764549,0.5556300539973327
A Marriner,24,0.5446846123133883,0.46494693081444805,0.45226909034284224,0.48730021115689287
L Mason,16,0.485418232953505,0.33519678569909805,0.47740003599699066,0.4326716848831979
K Friend,25,0.5638630185855973,0.33358341465336505,0.36965990634897494,0.4223687798626458
P Bankes,11,0.4400414451400411,0.15283250476319724,0.6674695142447925,0.42011448804934365
M Dean,27,0.3500326134667858,0.40928711088712594,0.24525246582995067,0.33485739672795417
G Scott,18,0.29724516507352916,0.30005647869654556,0.39547108401939757,0.3309242425964907
M Atkinson,32,0.32150013653857584,0.17597697579952237,0.3424744357145382,0.2799838493508788
D Coote,16,0.1411412363527698,-0.26926426424688193,0.8388008585451987,0.23689261021702887
C Kavanagh,26,0.31542559776012075,0.052377178466527945,0.3017582392169931,0.2231870051478806
A Madley,11,0.1548410299862029,-0.1430270021265569,0.5884275641861236,0.20008053068192322
S Hooper,11,-0.02964046283887084,-0.3048419131119667,0.32533036809713656,-0.003050669284566987
