,matches,home_corr
Bristol City,23,0.5785312379342887
Derby,23,0.41008356058607587
Preston,23,0.3557634939159731
Sheffield Weds,23,0.35027420474201865
Reading,23,0.274634390082007
Swansea,23,0.27035843041365665
Middlesbrough,23,0.24960897446079147
Luton,23,0.23344135280319764
Huddersfield,23,0.20977711636324514
Barnsley,23,0.17931167231979658
Hull,23,0.1785343940108558
Wigan,23,0.1765841159991861
Blackburn,23,0.15178969754888433
Birmingham,23,0.14021375089453503
Cardiff,23,0.13122724564056437
Stoke,23,0.11377670424709241
Nott'm Forest,23,0.05705192238313828
West Brom,23,0.05142503832796653
Charlton,23,0.04893754218186945
Brentford,23,0.03852397800558144
Leeds,23,-0.10434178152876852
Fulham,23,-0.11000184960101934
QPR,23,-0.12053376465059845
Millwall,23,-0.1758626532673843
