,matches,home_corr
Bradford,23,0.30555007677546914
Forest Green,23,0.3043279128408857
Morecambe,23,0.298702123477264
Salford,23,0.2898692622872996
Southend,23,0.2727904384378112
Scunthorpe,23,0.1940874022341878
Leyton Orient,23,0.1697920037532529
Bolton,23,0.13972322403120502
Colchester,23,0.12381157808930986
Walsall,23,0.12226534528090909
Grimsby,23,0.11407807167615212
Newport County,23,0.04301442210268511
Cheltenham,23,0.032352011477062216
Exeter,23,0.030254054764947164
Port Vale,23,-0.014889403634448808
Cambridge,23,-0.05016273774104531
Mansfield,23,-0.08851165500267759
Carlisle,23,-0.0948826496558062
Harrogate,23,-0.11318720033432798
Stevenage,23,-0.2024423895016325
Tranmere,23,-0.22128446703458018
Barrow,23,-0.2422835793172817
Crawley Town,23,-0.2741628794716771
Oldham,23,-0.34924774640996065
