,matches,home_corr
Crystal Palace,19,0.6780768938952586
Aston Villa,19,0.5195897353179887
Leicester,19,0.3941632106124658
Burnley,19,0.38617650453420255
Arsenal,19,0.26973008059935927
Wolves,19,0.24713695746910996
Tottenham,19,0.21080038347824354
West Ham,19,0.1870923495887488
Everton,19,0.1642200299098964
Brighton,19,0.13816726146999295
Sheffield United,19,0.10971237194766945
Chelsea,19,0.0999151509475537
Watford,19,0.08108844008117337
Newcastle,19,0.06861439689644878
Southampton,19,0.057684316239238094
Norwich,19,0.04815009201283605
Man City,19,0.022592022492877072
Man United,19,-0.023863595176548496
Bournemouth,19,-0.031192345387454638
Liverpool,19,-0.11995581571307631
