,matches,home_corr,draw_corr,away_corr,mean_corr
T Parsons,15,0.6860380941512748,0.2705156656363549,0.36734460772726724,0.441299455838299
J Bell,4,0.5610367188764364,0.0,0.6027519335467869,0.3879295508077411
R Madley,4,0.47875599177151135,-0.3871435347834827,0.8415163002580767,0.31104291908203513
S Mather,12,0.44560448290080235,0.014509207415336295,0.4487475835985695,0.30295375797156937
T Kirk,14,0.6389368896776686,0.1492687448810818,0.05728427938562346,0.28182997131479126
M Woods,14,0.26006731110314507,0.5559806557994648,0.008763651222404434,0.27493720604167143
L Smith,7,0.24512087943663066,0.6329667157089145,-0.21850218793399126,0.2198618024038513
D Handley,12,0.41645292237717213,-0.0752069217779156,0.18381669518701665,0.17502089859542438
T Reeves,14,0.3405648465555904,-0.30840590272577273,0.40294270077221167,0.14503388153400978
A Kitchen,13,0.10047560184671783,-0.260222715422473,0.4317983474028558,0.09068374460903354
R Welch,7,-0.03543788046546387,0.3012171720686278,-0.016182165109970156,0.08319904216439793
S Gill,13,0.07165538210010293,-0.2239807315658512,0.2884262819665009,0.04536697750025087
S Barrott,7,-0.246473529695476,0.18974510200792022,0.09125509135217229,0.0115088878882055
A Woolmer,5,-0.2428134958303791,-0.4505416918791198,0.6455047239614143,-0.01595015458269485
L Doughty,6,-0.2038949309850617,-0.015428051817893975,0.014913370893349265,-0.06813653730320214
A Herczeg,12,-0.07273466491374549,-0.14951291376196396,0.010056936626067435,-0.07073021401654733
G Eltringham,4,-0.7565516174673427,-0.3049820347513475,-0.03334917564399435,-0.36496094262089485
