,matches,home_corr,draw_corr,away_corr,mean_corr
D Bond,4,0.4572789908636855,0.3333333333333333,0.7082689045221646,0.49962707623972785
R Jones,48,0.614984148631928,0.21615625656444898,0.555845348851129,0.462328584682502
J Moss,74,0.49070822730382124,0.29322154036264847,0.46289636346410085,0.41560871037685687
C Kavanagh,79,0.5059073772879524,0.18051256651922654,0.5172370178057293,0.40121898720430277
A Marriner,81,0.48591827312854674,0.1909734734223106,0.47804823508734584,0.38497999387940113
M Atkinson,84,0.46773993554813303,0.23415288891538102,0.44961603972226305,0.3838362880619257
P Tierney,103,0.4494149165109038,0.09182674301138614,0.5021990577944782,0.3478135724389227
L Mason,27,0.3708418021668537,0.1667647368625185,0.48954410954074656,0.3423835495233729
D Coote,78,0.42078936558181623,0.10924981541057556,0.4294129713049235,0.3198173840991051
A Taylor,118,0.4714258601095941,0.17350377636346456,0.31198344601504346,0.31897102749603407
C Pawson,93,0.4335564199263709,0.08867427282003548,0.39660068801003745,0.30627712691881465
M Dean,78,0.36343445284531994,0.26330793571667704,0.24132335027214183,0.28935524627804626
M Oliver,116,0.37253096488620474,0.1022461681496536,0.3763813182674093,0.28371948376775585
G Scott,49,0.4190668672761084,0.1659650687285123,0.25682832275377476,0.2806200862527985
D England,45,0.4335219165646216,0.1339167015924797,0.21685173186885026,0.2614301166753172
K Friend,68,0.35273475178790936,0.06267990322155104,0.28882801215084286,0.2347475557201011
S Attwell,89,0.2923133904554907,0.07520208686507819,0.314485260303993,0.22733357920818728
S Hooper,67,0.42326239485208617,-0.0440225429331513,0.2936757965700412,0.22430521616299204
J Gillett,26,0.4272294005269023,-0.07045879629209245,0.07508662899254105,0.14395241107578363
J Brooks,23,0.08308037337925545,0.24404018303199757,0.10220479968096866,0.14310845203074055
A Madley,67,0.1962535076329693,-0.016743067193632274,0.21245257851576219,0.13065433965169973
T Harrington,9,0.2533032288412239,-0.5525117698009244,0.5787470212898556,0.09317949344338501
M Salisbury,18,0.09516996888420504,0.18467958897922723,-0.012659447358427247,0.089063370168335
P Bankes,60,0.07783063645803949,-0.12764004427371717,0.3092169063867879,0.08646916619037008
T Bramall,8,0.3210650892968552,-0.1209826689388509,-0.01639461439512073,0.06122926865429451
