,matches,home_corr
Sutton,22,0.5273589144497627
Northampton,22,0.4471507856624926
Carlisle,22,0.43250100681039494
Gillingham,23,0.4139904153866019
Walsall,22,0.3708621555505305
Hartlepool,23,0.36311782061477194
Barrow,23,0.3436732349818041
Swindon,23,0.33583498056474254
Colchester,23,0.31389633697113184
Stevenage,23,0.22582754733830715
Leyton Orient,22,0.22398621045722358
Crewe,23,0.19805617102484271
Tranmere,22,0.14845755602407618
Grimsby,23,0.12258846839071286
Stockport,22,0.07193293712567503
Newport County,23,0.053728689148324474
Harrogate,22,-0.0030131558765566138
Doncaster,23,-0.03208409901565243
Salford,22,-0.07576811760158146
Bradford,22,-0.14401021807651407
Rochdale,22,-0.2144941657483222
Mansfield,23,-0.2738186748128702
Crawley Town,23,-0.28555189860301666
AFC Wimbledon,22,-0.28656042105275775
