,matches,home_corr
Leeds,9,0.5905222723813625
Crystal Palace,11,0.5222553641236022
Chelsea,10,0.509835360793102
Brentford,11,0.5009931869764023
West Ham,11,0.4885124801716029
Fulham,13,0.47983148358606775
Aston Villa,11,0.40472798636680696
Arsenal,12,0.36772259898203385
Leicester,13,0.2354997025021486
Tottenham,11,0.20765992781868658
Southampton,13,0.18450594822495678
Newcastle,13,0.136527363971119
Nott'm Forest,11,0.005813053065856889
Wolves,11,-0.1222740132811062
Everton,11,-0.12343314389071602
Bournemouth,10,-0.12460339422755033
Brighton,12,-0.12662833569470108
Man United,9,-0.1638345139032663
Liverpool,6,-0.23191047999424858
Man City,14,-0.24769444609413352
